DATETIME,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,SCOTTISH_TRANSFER,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW
01/01/24 00:00,21783,23466,19539,2804,6488,0,16793,0,808,-71,417,-4,666,-179,-92,905,62,998,572,0
01/01/24 00:30,22521,24103,20286,2834,6488,0,16793,0,895,288,430,-4,661,-60,-8,901,-15,998,575,0
01/01/24 01:00,22194,24754,20070,2868,6488,0,16793,0,1441,466,834,-4,661,-118,-1,807,-396,997,422,0
01/01/24 01:30,21510,24505,19424,2901,6488,0,16793,0,1564,262,839,-4,661,-270,-84,803,-473,997,401,0
01/01/24 02:00,20619,23977,18674,2933,6488,0,16793,0,1454,595,53,-5,661,-340,-103,537,-856,998,28,0
01/01/24 02:30,20099,23779,18184,2965,6488,0,16793,0,1555,888,18,-5,661,-340,-241,526,-935,999,-4,0
01/01/24 03:00,19345,23815,17561,2987,6488,0,16793,0,1530,988,361,-5,546,-340,-326,414,-1328,995,-341,0
01/01/24 03:30,18743,23428,16968,3008,6488,0,16793,0,1521,793,381,-5,541,-340,-470,411,-1382,995,-367,0
01/01/24 04:00,18365,23164,16612,3000,6488,0,16793,0,1526,1087,225,-5,271,-340,-452,596,-1444,994,-432,0
01/01/24 04:30,18128,22939,16442,2992,6488,0,16793,0,1500,1217,235,-5,259,-340,-477,602,-1451,969,-438,0
01/01/24 05:00,18079,22998,16430,2929,6488,0,16793,0,1491,1290,1057,-5,293,-340,-528,584,-1452,113,-503,0
01/01/24 05:30,18189,23103,16565,2865,6488,0,16793,0,1480,1152,1113,-5,294,-340,-529,583,-1453,62,-507,0
01/01/24 06:00,18847,23724,17203,2769,6488,0,16793,0,1464,1280,1404,-5,129,-340,-529,796,-1453,169,-486,0
01/01/24 06:30,19287,24144,17616,2673,6488,0,16793,0,1446,1539,1425,-5,117,-340,-529,803,-1453,183,-484,0
01/01/24 07:00,19917,24451,18213,2603,6488,0,16793,0,1035,1619,1602,-4,103,-340,-529,691,-1453,394,-573,0
01/01/24 07:30,20395,24569,18677,2532,6488,0,16793,0,630,1435,1618,-4,102,-405,-528,687,-1436,416,-571,0
01/01/24 08:00,21582,24982,19824,2448,6488,0,16793,0,407,1145,1892,-4,151,-450,-529,988,-1218,686,-192,0
01/01/24 08:30,22082,25179,20306,2363,6488,152,16793,0,205,1320,1909,-4,163,-450,-529,999,-1160,698,-149,0
01/01/24 09:00,23168,25578,21239,2248,6488,741,16793,0,58,1257,1995,-4,417,-450,-529,999,-769,525,449,0
01/01/24 09:30,23753,26052,21758,2133,6488,1542,16793,0,26,1280,2000,-4,424,-450,-529,999,-690,526,498,0
01/01/24 10:00,24471,26631,22359,2030,6488,2280,16793,0,330,929,1999,-4,975,-388,-530,999,-308,969,761,0
01/01/24 10:30,24864,26606,22683,1927,6488,2642,16793,0,18,649,2000,-4,1003,-350,-530,999,-240,998,780,0
01/01/24 11:00,25947,27435,23632,1844,6488,2892,16793,0,17,634,2000,-4,1003,-337,-530,999,33,998,780,0
01/01/24 11:30,26664,28121,24317,1761,6488,2548,16793,0,15,799,2000,-4,1003,-308,-530,999,97,998,780,0
01/01/24 12:00,27852,29324,25408,1643,6488,2172,16793,0,13,897,2001,-4,1003,-325,-530,999,469,998,780,0
01/01/24 12:30,28748,30225,26240,1525,6488,1981,16793,0,10,671,2000,-4,1004,-332,-531,999,545,998,780,0
01/01/24 13:00,29377,30790,26831,1408,6488,1532,16793,0,7,541,2001,-4,1003,-271,-531,999,919,998,780,0
01/01/24 13:30,30067,31369,27443,1291,6488,914,16793,0,7,364,2001,-4,1003,-220,-471,999,993,998,780,0
01/01/24 14:00,30374,31735,27668,1242,6488,545,16793,0,8,216,2000,-4,1003,-235,-514,999,1353,998,780,0
01/01/24 14:30,30972,32271,28180,1192,6488,224,16793,0,9,222,2000,-4,1003,-272,-414,999,1398,998,780,0
01/01/24 15:00,31758,32988,28907,1231,6488,41,16793,0,11,300,2001,-4,1003,-235,-380,999,1399,998,780,0
01/01/24 15:30,32493,33532,29557,1269,6488,0,16793,0,4,131,2000,-4,975,-196,-235,999,1398,998,780,0
01/01/24 16:00,33787,34542,30682,1365,6488,0,16793,0,5,466,2000,-4,544,-64,-82,1018,1399,998,780,0
01/01/24 16:30,34792,35546,31679,1461,6488,0,16793,0,3,676,2000,-4,544,-147,0,1019,1399,997,780,0
01/01/24 17:00,34845,35637,31786,1590,6488,0,16793,0,4,900,2000,-4,950,-184,0,1019,1399,998,780,0
01/01/24 17:30,34479,35281,31533,1719,6488,0,16793,0,5,1254,2000,-4,973,-193,0,1020,1399,997,780,0
01/01/24 18:00,33608,34319,30891,1924,6488,0,16793,0,5,1512,2000,-4,530,-102,25,1019,1399,997,780,0
01/01/24 18:30,32724,33573,30128,2128,6488,0,16793,0,6,1700,1999,-4,529,-188,-51,1019,1369,997,780,0
01/01/24 19:00,31674,32416,29302,2338,6488,0,16793,0,11,2355,1999,-4,697,-118,-9,1019,995,997,780,0
01/01/24 19:30,30525,31348,28321,2547,6488,0,16793,0,12,2846,1999,-4,709,-207,0,1019,919,997,767,0
01/01/24 20:00,28786,29550,26661,2764,6488,0,16793,0,11,3450,1999,-4,569,-149,0,1019,545,997,251,0
01/01/24 20:30,27781,28651,25740,2980,6488,0,16793,0,111,3865,1997,-4,539,-155,0,1019,470,997,208,0
01/01/24 21:00,26182,27632,24362,3126,6488,0,16793,0,283,4545,1921,-4,-415,-148,0,948,96,997,5,0
01/01/24 21:30,24879,26452,23296,3272,6488,0,16793,0,231,4370,1901,-4,-455,-203,-57,944,19,993,-23,0
01/01/24 22:00,23495,25494,22053,3384,6488,0,16793,0,219,4980,1244,-4,112,-67,-4,589,-358,864,-747,0
01/01/24 22:30,22352,24863,20978,3496,6488,0,16793,0,576,4661,1201,-4,122,-102,0,527,-436,855,-793,0
01/01/24 23:00,20807,25128,19640,3668,6488,0,16793,0,740,5284,1090,-4,-532,-206,-64,-617,-820,822,-738,0
01/01/24 23:30,20060,25036,18907,3840,6488,0,16794,0,974,4580,1060,-4,-621,-252,-210,-689,-899,822,-727,0
