DATETIME,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,SCOTTISH_TRANSFER,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW,day_of_week,month,is_weekend,hour,minute,settlement_period,lag_1,lag_48,rolling_mean_7d,wind_ratio,solar_ratio
2024-07-01 23:30:00,25843,27115,23360,765,6488,0,16804,0,48,145,1916,-4,876,-360,-260,999,873,979,693,0,0,7,0,23,30,48,24150.0,23310.0,27517.67261904762,0.032748287671232876,0.0
2024-08-01 00:00:00,25765,27690,23345,770,6488,0,16804,0,615,214,1975,-4,1002,-371,-335,977,1246,970,735,0,3,8,0,0,0,1,23360.0,23457.0,27529.0,0.03298350824587706,0.0
2024-08-01 00:30:00,26291,28227,23869,775,6488,0,16804,0,711,217,1976,-4,1003,-371,-250,976,1299,968,739,0,3,8,0,0,30,2,23345.0,23835.0,27539.66369047619,0.03246889270602036,0.0
2024-08-01 01:00:00,25999,28246,23619,782,6488,0,16804,0,968,314,1929,-4,1003,-371,-304,998,1388,911,719,0,3,8,0,1,0,3,23869.0,23385.0,27550.22619047619,0.0331089377196325,0.0
2024-08-01 01:30:00,25375,27708,23034,789,6488,0,16804,0,1165,248,1928,-4,1003,-371,-193,999,1398,907,715,0,3,8,0,1,30,4,23619.0,22749.0,27560.970238095237,0.034253711904141705,0.0
2024-08-01 02:00:00,24984,27616,22700,811,6488,0,16804,0,1479,73,1995,-4,1002,-371,-178,999,1393,958,716,0,3,8,0,2,0,5,23034.0,22246.0,27572.95238095238,0.03572687224669604,0.0
2024-08-01 02:30:00,24791,27483,22497,832,6488,0,16804,0,1481,50,1998,-4,1003,-371,-236,999,1364,960,715,0,3,8,0,2,30,6,22700.0,21972.0,27585.78869047619,0.036982708805618526,0.0
2024-08-01 03:00:00,24507,27053,22138,875,6488,0,16804,0,1463,-216,1987,-4,1004,-371,-108,999,1005,905,716,0,3,8,0,3,0,7,22497.0,21392.0,27599.410714285714,0.03952479898816515,0.0
2024-08-01 03:30:00,24327,26911,21936,917,6488,0,16804,0,1461,-206,1975,-4,1001,-371,-148,999,931,900,708,0,3,8,0,3,30,8,22138.0,20944.0,27614.196428571428,0.04180342815463166,0.0
2024-08-01 04:00:00,24109,26526,21744,956,6488,0,16804,0,1440,78,1488,-4,640,-315,-58,945,557,859,400,0,3,8,0,4,0,9,21936.0,20615.0,27629.470238095237,0.04396615158204562,0.0
2024-08-01 04:30:00,24099,26322,21759,995,6488,0,16804,0,1305,215,1376,-4,581,-193,-121,919,504,842,369,0,3,8,0,4,30,10,21744.0,20321.0,27645.29464285714,0.04572820442115906,0.0
2024-08-01 05:00:00,24475,25547,22150,1031,6488,0,16804,0,302,687,18,-4,-96,-46,-24,32,423,329,24,0,3,8,0,5,0,11,21759.0,20489.0,27662.318452380954,0.04654627539503386,0.0
2024-08-01 05:30:00,25698,26646,23242,1067,6488,0,16804,0,7,531,-172,-4,-104,-28,0,-28,384,290,-5,0,3,8,0,5,30,12,22150.0,20493.0,27682.190476190477,0.045908269512090184,0.0
2024-08-01 06:00:00,28529,31484,25860,1086,6488,0,16804,0,8,644,-982,-4,-630,37,56,-438,7,67,-293,0,3,8,0,6,0,13,23242.0,21253.0,27707.95535714286,0.0419953596287703,0.0
2024-08-01 06:30:00,31599,34798,28655,1105,6488,0,16804,0,7,303,-1037,-4,-718,-28,11,-455,-38,42,-312,0,3,8,0,6,30,14,25860.0,21843.0,27740.809523809523,0.03856220554876985,0.0
2024-08-01 07:00:00,34909,37932,31683,1143,6488,0,16804,0,7,235,-880,-4,-287,-169,-52,-399,-9,-369,-247,0,3,8,0,7,0,15,28655.0,22606.0,27780.89880952381,0.036076129154436136,0.0
2024-08-01 07:30:00,36704,39715,33332,1180,6488,0,16804,0,6,96,-852,-4,-226,-294,-9,-397,25,-388,-235,0,3,8,0,7,30,16,31683.0,23330.0,27824.51488095238,0.035401416056642265,0.0
2024-08-01 08:00:00,38617,40200,35031,1219,6488,1,16804,0,7,-214,-150,-4,95,-428,-49,-205,400,-125,-15,0,3,8,0,8,0,17,33332.0,24795.0,27869.77380952381,0.03479775056378636,2.8546144843138935e-05
2024-08-01 08:30:00,39385,40816,35715,1258,6488,61,16804,0,6,-184,-80,-4,102,-412,-47,-186,435,-96,0,0,3,8,0,8,30,18,35031.0,25966.0,27915.633928571428,0.035223295534089316,0.0017079658406831864
2024-08-01 09:00:00,40581,41831,36855,1335,6488,326,16804,0,8,-357,678,-4,332,-450,-188,501,294,329,0,0,3,8,0,9,0,19,35715.0,27137.0,27962.11011904762,0.03622303622303622,0.00884547551214218
2024-08-01 09:30:00,41047,42321,37247,1411,6488,748,16804,0,8,-579,736,-4,353,-451,-211,537,258,352,0,0,3,8,0,9,30,20,36855.0,27893.0,28008.208333333332,0.03788224554997718,0.020082154267457783
2024-08-01 10:00:00,40859,42171,37072,1512,6488,970,16804,0,8,-517,329,-4,355,-451,-249,316,25,198,0,0,3,8,0,10,0,21,37247.0,28573.0,28051.997023809523,0.04078549848942598,0.02616529995684074
2024-08-01 10:30:00,41015,42327,37202,1612,6488,1130,16804,0,8,-505,299,-4,355,-451,-246,306,-3,188,0,0,3,8,0,10,30,22,37072.0,28736.0,28095.208333333332,0.04333100370947798,0.030374711037041018
2024-08-01 11:00:00,41092,42530,37208,1707,6488,1210,16804,0,7,-528,297,-4,683,-451,-347,-29,8,240,0,0,3,8,0,11,0,23,37202.0,29013.0,28135.613095238095,0.04587723070307461,0.032519888196086866
2024-08-01 11:30:00,41342,42828,37467,1801,6488,1110,16804,0,8,-605,314,-4,719,-451,-376,-43,8,237,-4,0,3,8,0,11,30,24,37208.0,29277.0,28174.75,0.04806896735794165,0.029626070942429337
2024-08-01 12:00:00,41508,43194,37610,1840,6488,1217,16804,0,8,-865,873,-4,992,-451,-297,-231,-3,31,-92,0,3,8,0,12,0,25,37467.0,29745.0,28211.065476190477,0.048923158734379156,0.03235841531507578
2024-08-01 12:30:00,41652,43324,37728,1879,6488,1130,16804,0,7,-859,904,-4,1004,-451,-273,-235,-5,19,-97,0,3,8,0,12,30,26,37610.0,30137.0,28245.255952380954,0.049803859202714164,0.02995122985581001
2024-08-01 13:00:00,41996,43347,38094,1855,6488,917,16804,0,7,-793,591,-4,1004,-450,-122,136,-5,19,-163,0,3,8,0,13,0,27,37728.0,30271.0,28278.776785714286,0.048695332598309445,0.024072032341051083
2024-08-01 13:30:00,41783,43063,37907,1831,6488,892,16804,0,7,-782,507,-4,1003,-450,-64,150,-5,15,-150,0,3,8,0,13,30,28,38094.0,30328.0,28309.91964285714,0.04830242435434089,0.023531273907193923
2024-08-01 14:00:00,41501,43398,37734,1783,6488,571,16804,0,7,-504,-776,-4,1004,-428,-1,-52,-5,-24,581,0,3,8,0,14,0,29,37907.0,30887.0,28339.877976190477,0.047251815338951605,0.015132241479832512
2024-08-01 14:30:00,41468,43541,37720,1734,6488,273,16804,0,8,-363,-924,-4,1003,-422,-29,-60,13,-26,614,0,3,8,0,14,30,30,37734.0,31674.0,28368.270833333332,0.04597030752916225,0.007237539766702015
2024-08-01 15:00:00,41318,43648,37571,1714,6488,108,16804,0,10,18,-995,-4,1003,-286,12,-315,223,-27,-93,0,3,8,0,15,0,31,37720.0,32397.0,28394.056547619046,0.04562029224667962,0.002874557504458226
2024-08-01 15:30:00,42207,44634,38414,1693,6488,22,16804,0,13,328,-978,-4,1004,-327,0,-324,254,-30,-151,0,3,8,0,15,30,32,37571.0,33225.0,28420.416666666668,0.04407247357734159,0.0005727078669235174
2024-08-01 16:00:00,43397,45190,39534,1737,6488,0,16804,0,10,333,-129,-4,855,-432,-59,-75,304,-114,-370,0,3,8,0,16,0,33,38414.0,34526.0,28446.761904761905,0.043936864471088174,0.0
2024-08-01 16:30:00,43764,45482,39818,1780,6488,0,16804,0,6,269,-97,-4,844,-357,-80,-66,312,-123,-385,0,3,8,0,16,30,34,39534.0,36231.0,28470.98511904762,0.044703400472148276,0.0
2024-08-01 17:00:00,43272,45850,39280,1819,6488,0,16804,0,6,444,-691,-4,851,-441,-218,121,333,-276,-342,0,3,8,0,17,0,35,39818.0,37187.0,28493.28869047619,0.04630855397148676,0.0
2024-08-01 17:30:00,43517,46261,39563,1858,6488,0,16804,0,6,798,-750,-4,852,-450,-330,128,318,-282,-322,0,3,8,0,17,30,36,39280.0,37217.0,28517.1875,0.04696307155675758,0.0
2024-08-01 18:00:00,43146,45736,39326,1879,6488,0,16804,0,4,841,-1186,-4,998,-450,-226,317,101,-120,228,0,3,8,0,18,0,37,39563.0,36694.0,28542.291666666668,0.04778009459390734,0.0
2024-08-01 18:30:00,42869,45482,39090,1899,6488,0,16804,0,6,637,-1196,-4,1003,-450,-241,324,69,-116,273,0,3,8,0,18,30,38,39326.0,36076.0,28568.964285714286,0.04858019953952417,0.0
2024-08-01 19:00:00,42138,43926,38498,1912,6488,0,16804,0,12,435,-319,-4,927,-412,-141,193,4,-300,579,0,3,8,0,19,0,39,39090.0,35034.0,28596.333333333332,0.04966491765806016,0.0
2024-08-01 19:30:00,40852,42740,37400,1925,6488,0,16804,0,16,461,-277,-4,924,-450,-225,186,-5,-311,600,0,3,8,0,19,30,40,38498.0,33828.0,28623.354166666668,0.051470588235294115,0.0
2024-08-01 20:00:00,39341,41778,35946,1919,6488,0,16804,0,12,444,-693,-4,779,-450,-195,-237,-5,-241,578,0,3,8,0,20,0,41,37400.0,32732.0,28650.988095238095,0.0533856340065654,0.0
2024-08-01 20:30:00,37535,39870,34319,1912,6488,0,16804,0,11,645,-726,-4,773,-450,-52,-254,24,-238,566,0,3,8,0,20,30,42,35946.0,31551.0,28676.520833333332,0.055712579037850755,0.0
2024-08-01 21:00:00,35807,38113,32781,1899,6488,0,16804,0,8,837,-812,-4,795,-450,0,-140,369,-292,207,0,3,8,0,21,0,43,34319.0,29978.0,28701.57738095238,0.05792989841676581,0.0
2024-08-01 21:30:00,33972,36352,31016,1886,6488,0,16804,0,8,884,-859,-4,795,-450,-24,-138,384,-297,179,0,3,8,0,21,30,44,32781.0,28718.0,28724.553571428572,0.06080732525148311,0.0
2024-08-01 22:00:00,31606,35644,28865,1867,6488,0,16804,0,8,1086,-1961,-4,512,-450,-136,-525,39,-354,17,0,3,8,0,22,0,45,31016.0,27303.0,28744.82738095238,0.06468040879958427,0.0
2024-08-01 22:30:00,29710,33819,27083,1847,6488,0,16804,0,11,847,-2035,-4,475,-450,-90,-540,-5,-370,-4,0,3,8,0,22,30,46,28865.0,25674.0,28762.997023809523,0.06819776243399919,0.0
2024-08-01 23:00:00,27858,32756,25399,1904,6488,0,16804,0,319,885,-1665,-4,-183,-450,-15,-499,-6,-774,-383,0,3,8,0,23,0,47,27083.0,24150.0,28780.136904761905,0.07496358124335603,0.0
2024-08-01 23:30:00,26696,31765,24292,1961,6488,0,16807,0,487,898,-1647,-4,-198,-415,0,-498,-6,-799,-415,0,3,8,0,23,30,48,25399.0,23360.0,28796.16369047619,0.08072616499259015,0.0
2024-09-01 00:00:00,26515,31853,24152,1942,6488,0,16807,0,613,902,-1846,-4,-157,-393,0,-418,-7,-775,-525,0,6,9,1,0,0,1,24292.0,23345.0,28811.723214285714,0.0804074196753892,0.0
2024-09-01 00:30:00,26953,32249,24604,1922,6488,0,16807,0,614,1053,-1855,-4,-167,-332,0,-415,-6,-771,-532,0,6,9,1,0,30,2,24152.0,23869.0,28827.479166666668,0.07811737928792066,0.0
2024-09-01 01:00:00,26522,31778,24190,1913,6488,0,16807,0,608,901,-1665,-4,-493,-315,-61,-306,-6,-644,-554,0,6,9,1,1,0,3,24604.0,23619.0,28842.925595238095,0.07908226539892517,0.0
2024-09-01 01:30:00,25954,31156,23623,1904,6488,0,16807,0,611,811,-1645,-4,-504,-315,-34,-302,-6,-627,-554,0,6,9,1,1,30,4,24190.0,23034.0,28858.491071428572,0.08059941582356178,0.0
2024-09-01 02:00:00,25617,30730,23290,1889,6488,0,16807,0,785,826,-1308,-4,-784,-315,-156,-264,-7,-336,-554,0,6,9,1,2,0,5,23623.0,22700.0,28873.583333333332,0.0811077715757836,0.0
2024-09-01 02:30:00,25276,30409,22951,1873,6488,0,16807,0,864,798,-1285,-4,-785,-315,-123,-263,-20,-318,-556,0,6,9,1,2,30,6,23290.0,22497.0,28888.651785714286,0.08160864450350747,0.0
2024-09-01 03:00:00,24988,30124,22654,1892,6488,0,16807,0,858,825,-1242,-4,-662,-315,-8,-321,-183,-365,-578,0,6,9,1,3,0,7,22951.0,22138.0,28903.97619047619,0.08351725964509579,0.0
2024-09-01 03:30:00,24636,29907,22324,1911,6488,0,16807,0,859,757,-1258,-4,-669,-315,-48,-327,-233,-376,-582,0,6,9,1,3,30,8,22654.0,21936.0,28918.883928571428,0.08560293854148002,0.0
2024-09-01 04:00:00,24272,31526,22062,1924,6488,0,16807,0,677,929,-1843,-4,-1005,-315,-3,-838,-614,-643,-712,0,6,9,1,4,0,9,22324.0,21744.0,28933.276785714286,0.08720877526969449,0.0
2024-09-01 04:30:00,24279,31610,22103,1937,6488,0,16807,0,560,1131,-1887,-4,-1003,-315,-18,-861,-692,-669,-722,0,6,9,1,4,30,10,22062.0,21759.0,28947.747023809523,0.0876351626476044,0.0
2024-09-01 05:00:00,24801,32454,22644,1974,6488,0,16807,0,429,1253,-2042,-4,-524,-286,0,-915,-1079,-988,-786,0,6,9,1,5,0,11,22103.0,22150.0,28962.684523809523,0.08717541070482247,0.0
2024-09-01 05:30:00,26105,33383,23760,2010,6488,0,16807,0,71,1101,-2049,-4,-500,-147,-41,-917,-1149,-1008,-792,0,6,9,1,5,30,12,22644.0,23242.0,28979.14880952381,0.0845959595959596,0.0
2024-09-01 06:00:00,29024,36263,26536,2038,6488,0,16807,0,19,1435,-1979,-4,-449,3,55,-971,-1417,-1008,-792,0,6,9,1,6,0,13,23760.0,25860.0,28997.443452380954,0.07680132649984926,0.0
2024-09-01 06:30:00,32000,39218,29278,2065,6488,0,16807,0,61,1759,-1963,-4,-430,145,11,-973,-1420,-992,-775,0,6,9,1,6,30,14,26536.0,28655.0,29018.970238095237,0.07053077395996994,0.0
2024-09-01 07:00:00,35454,40172,32406,2087,6488,0,16807,0,13,1855,-1558,-4,207,82,0,-1019,-1027,-445,-52,0,6,9,1,7,0,15,29278.0,31683.0,29042.651785714286,0.06440165401468864,0.0
2024-09-01 07:30:00,37210,41818,34027,2109,6488,0,16807,0,100,2028,-1530,-4,232,-21,0,-1003,-948,-401,-1,0,6,9,1,7,30,16,32406.0,33332.0,29066.848214285714,0.06198019220031152,0.0
2024-09-01 08:00:00,38870,42226,35467,2148,6488,8,16807,0,13,1498,-1504,-4,727,-157,-50,-207,-561,-102,-158,0,6,9,1,8,0,17,34027.0,35031.0,29088.973214285714,0.06056334057010743,0.00022556178983280232
2024-09-01 08:30:00,39459,42775,36077,2187,6488,261,16807,0,9,1491,-1501,-4,751,-275,-22,-160,-483,-90,-172,0,6,9,1,8,30,18,35467.0,35715.0,29107.28869047619,0.06062033982869972,0.007234526152396264
2024-09-01 09:00:00,40161,43380,36748,2279,6488,957,16807,0,8,1135,-1343,-4,921,-416,-127,233,-105,-338,-278,0,6,9,1,9,0,19,36077.0,36855.0,29123.45535714286,0.062016980515946445,0.026042233590943726
2024-09-01 09:30:00,39919,43143,36438,2371,6488,1945,16807,0,8,974,-1336,-4,935,-450,-108,248,-77,-356,-285,0,6,9,1,9,30,20,36748.0,37247.0,29136.39880952381,0.06506943300949558,0.05337834129205774
2024-09-01 10:00:00,39223,42795,35735,2452,6488,2907,16807,0,8,971,-1427,-4,1003,-450,-154,247,-319,-457,-153,0,6,9,1,10,0,21,36438.0,37072.0,29146.550595238095,0.06861620260249056,0.08134881768574227
2024-09-01 10:30:00,38510,42041,35014,2532,6488,3740,16807,0,8,832,-1443,-4,1003,-450,-67,247,-349,-457,-153,0,6,9,1,10,30,22,35735.0,37202.0,29153.98214285714,0.07231393157022906,0.10681441709030673
2024-09-01 11:00:00,38097,42213,34550,2591,6488,4271,16807,0,7,553,-1798,-4,1003,-450,-107,273,-353,-265,-532,0,6,9,1,11,0,23,35014.0,37208.0,29160.074404761905,0.07499276410998552,0.12361794500723589
2024-09-01 11:30:00,37635,41816,34089,2649,6488,4702,16807,0,7,490,-1814,-4,1002,-450,-136,275,-357,-255,-558,0,6,9,1,11,30,24,34550.0,37467.0,29163.300595238095,0.0777083516676934,0.13793305758455807
2024-09-01 12:00:00,37556,41673,34046,2642,6488,5026,16807,0,7,362,-1605,-4,1003,-450,-145,105,-405,-365,-536,0,6,9,1,12,0,25,34089.0,37610.0,29164.696428571428,0.0776008929095929,0.14762380308993714
2024-09-01 12:30:00,37248,41275,33769,2635,6488,5035,16807,0,7,495,-1589,-4,1003,-428,-65,99,-415,-381,-538,0,6,9,1,12,30,26,34046.0,37728.0,29165.104166666668,0.07803014599188605,0.14910124670555835
2024-09-01 13:00:00,37172,41563,33726,2549,6488,4746,16807,0,5,559,-1582,-4,1003,-300,0,4,-453,-668,-779,0,6,9,1,13,0,27,33769.0,38094.0,29166.136904761905,0.07557967147008243,0.14072229140722292
2024-09-01 13:30:00,37329,41688,33867,2462,6488,4198,16807,0,3,454,-1583,-4,1002,-257,0,0,-429,-686,-797,0,6,9,1,13,30,28,33726.0,37907.0,29168.595238095237,0.0726961348805622,0.12395547287920394
2024-09-01 14:00:00,37839,41906,34392,2360,6488,3414,16807,0,7,519,-1661,-4,928,-245,0,-41,-52,-660,-797,0,6,9,1,14,0,29,33867.0,37734.0,29173.723214285714,0.06862060944405676,0.09926727145847872
2024-09-01 14:30:00,38168,42326,34688,2258,6488,2406,16807,0,16,380,-1665,-4,926,-366,0,-43,-5,-662,-797,0,6,9,1,14,30,30,34392.0,37720.0,29179.79464285714,0.06509455719557196,0.06936116236162361
2024-09-01 15:00:00,38927,43240,35412,2213,6488,1157,16807,0,11,164,-1630,-4,1003,-450,-18,45,-5,-798,-797,0,6,9,1,15,0,31,34688.0,37571.0,29187.02380952381,0.06249294024624421,0.03267254038179148
2024-09-01 15:30:00,40422,44654,36806,2167,6488,231,16807,0,7,317,-1609,-4,1002,-415,-2,49,-5,-796,-794,0,6,9,1,15,30,32,35412.0,38414.0,29197.83035714286,0.0588762701733413,0.006276150627615063
2024-09-01 16:00:00,41102,44222,37322,2169,6488,2,16807,0,9,355,-891,-4,817,-450,-101,2,-5,-441,-619,0,6,9,1,16,0,33,36806.0,39534.0,29208.904761904763,0.05811585659932479,5.358769626493757e-05
2024-09-01 16:30:00,42388,45564,38514,2171,6488,0,16807,0,6,464,-849,-4,814,-450,-241,1,-5,-419,-602,0,6,9,1,16,30,34,37322.0,39818.0,29220.88988095238,0.056369112530508386,0.0
